ts,ts_iso_utc,window_seconds,file_modification_rate,rename_count,file_creation_count,file_deletion_count,cpu_usage_percent,memory_usage_percent,process_spike
1772707433.1898057,2026-03-05T10:43:53.189809+00:00,5,0,0,0,0,3.4,54.4,-2
1772707438.1945224,2026-03-05T10:43:58.194528+00:00,5,0,0,0,0,4.8,54.4,0
1772707750.6021848,2026-03-05T10:49:10.602188+00:00,5,0,0,0,0,1.4,54.9,0
1772707755.6053789,2026-03-05T10:49:15.605383+00:00,5,0,0,0,0,6.5,55.0,0
1772707760.6088614,2026-03-05T10:49:20.608864+00:00,5,1,1,1,0,8.3,55.0,0
1772707765.6137733,2026-03-05T10:49:25.613777+00:00,5,0,0,0,0,5.3,55.0,0
1772707770.6185994,2026-03-05T10:49:30.618602+00:00,5,0,0,0,0,4.5,55.0,0
1772707775.6216364,2026-03-05T10:49:35.621639+00:00,5,0,0,0,0,2.5,54.9,-1
1772707780.6255736,2026-03-05T10:49:40.625576+00:00,5,0,0,0,0,6.4,54.9,0
1772707785.6288295,2026-03-05T10:49:45.628831+00:00,5,0,0,0,0,3.5,54.9,0
1772707790.6319127,2026-03-05T10:49:50.631915+00:00,5,0,0,0,0,3.6,54.9,0
1772707795.6354787,2026-03-05T10:49:55.635481+00:00,5,0,0,0,0,3.5,54.9,0
1772707800.6384094,2026-03-05T10:50:00.638412+00:00,5,0,0,0,0,7.1,54.9,2
1772707805.6422284,2026-03-05T10:50:05.642232+00:00,5,0,0,0,0,7.4,54.9,-2
1772707810.6449099,2026-03-05T10:50:10.644912+00:00,5,0,0,0,0,6.4,55.5,0
1772707815.6480834,2026-03-05T10:50:15.648088+00:00,5,0,0,0,0,7.1,55.5,0
1772707820.6511917,2026-03-05T10:50:20.651195+00:00,5,0,0,0,0,8.2,55.5,0
1772707825.6536796,2026-03-05T10:50:25.653682+00:00,5,0,0,0,0,7.6,55.5,0
1772707830.657173,2026-03-05T10:50:30.657175+00:00,5,0,0,0,0,9.7,55.5,0
1772707835.6605902,2026-03-05T10:50:35.660593+00:00,5,0,0,0,0,4.9,55.3,0
1772707840.6640656,2026-03-05T10:50:40.664068+00:00,5,0,0,0,0,6.1,54.9,0
1772707845.6668615,2026-03-05T10:50:45.666865+00:00,5,0,0,0,0,4.5,55.0,2
1772707850.670296,2026-03-05T10:50:50.670301+00:00,5,0,0,0,0,5.6,54.9,-2
1772707855.6740208,2026-03-05T10:50:55.674024+00:00,5,0,0,0,0,4.4,54.8,0
1772707860.677561,2026-03-05T10:51:00.677564+00:00,5,0,0,0,0,5.2,54.9,0
1772707865.6807055,2026-03-05T10:51:05.680709+00:00,5,0,0,0,0,5.8,54.9,0
1772707870.6842859,2026-03-05T10:51:10.684289+00:00,5,0,0,0,0,4.9,54.9,0
1772707875.688207,2026-03-05T10:51:15.688209+00:00,5,0,0,0,0,4.8,54.9,0
1772707880.6916227,2026-03-05T10:51:20.691625+00:00,5,0,0,0,0,7.8,54.6,0
1772707885.694379,2026-03-05T10:51:25.694381+00:00,5,0,0,0,0,8.8,54.6,0
1772707890.6980324,2026-03-05T10:51:30.698034+00:00,5,0,0,0,0,9.2,55.2,0
1772707895.700444,2026-03-05T10:51:35.700446+00:00,5,0,0,0,0,13.5,55.2,0
